AOA(deg),Beta(deg),Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
30.0000,0.0000,35.0000,0.0147,0.0000,0.1414,0.1151,0.0010,0.0825,0.0000,2.8487,0.0000,
31.0000,0.0000,35.0000,0.0113,0.0000,0.1453,0.1187,0.0011,0.0835,0.0000,2.9312,0.0000,
32.0000,0.0000,35.00000065,0.0000,0.1482,0.1222,0.0011,0.0829,0.0000,3.0094,0.0000,
33.0000,0.0000,35.0000,0.0014,0.0000,0.1508,0.1257,0.0012,0.0821,0.0000,3.0833,0.0000,
34.0000,0.0000,35.0000,0.0025,0.0000,0.1576,0.1292,0.0013,0.0889,0.0000,3.1549,0.0000,
35.0000,0.0000,35.0000,-0.0020,0.0000,0.1605,0.1326,0.0014,0.0890,0.0000,3.2181,0.0000,
36.0000,0.0000,35.0000,-0.0070,0.0000,0.1630,0.1360,0.0015,0.0887,0.0000,3.2756,0.0000,
37.0000,0.0000,35.0000,-0.0113,0.0000,0.1660,0.1393,0.0016,0.0893,0.0000,3.3278,0.0000,
38.0000,0.0000,35.0000,-0.0167,0.0000,0.1679,0.1426,0.0017,0.0886,0.0000,3.3755,0.0000,
39.0000,0.0000,35.0000,-0.0216,0.0000,0.1702,0.1459,0.0018,0.0886,0.0000,3.4176,0.0000,
40.0000,0.0000,35.0000,-0.0265,0.0000,0.1724,0.1491,0.0019,0.0886,0.0000,3.4539,0.0000,
41.0000,0.0000,35.0000,-0.0319,0.0000,0.1739,0.1522,0.0020,0.0880,0.0000,3.4847,0.0000,
42.0000,0.0000,35.0000,-0.0366,0.0000,0.1761,0.1553,0.0021,0.0886,0.0000,3.5099,0.0000,
43.0000,0.0000,35.0000,-0.0413,0.0000,0.1780,0.1584,0.0022,0.0890,0.0000,3.5299,0.0000,
44.0000,0.0000,35.0000,-0.0466,0.0000,0.1793,0.1614,0.0023,0.0887,0.0000,3.5443,0.0000,
45.0000,0.0000,35.0000,-0.0517,0.0000,0.1807,0.1644,0.0024,0.0888,0.0000,3.5530,0.0000,
46.0000,0.0000,35.0000,-0.0573,0.0000,0.1815,0.1673,0.0025,0.0883,0.0000,3.5569,0.0000,
47.0000,0.0000,35.0000,-0.0626,0.0000,0.1824,0.1701,0.0026,0.0881,0.0000,3.5542,0.0000,
48.0000,0.0000,35.0000,-0.0671,0.0000,0.1839,0.1729,0.0027,0.0890,0.0000,3.5459,0.0000,
49.0000,0.0000,35.0000,-0.0722,0.0000,0.1847,0.1757,0.0029,0.0891,0.0000,3.5322,0.0000,
50.0000,0.0000,35.0000,-0.0776,0.0000,0.1851,0.1784,0.0030,0.0889,0.0000,3.5128,0.0000,
51.0000,0.0000,35.0000,-0.0826,0.0000,0.1856,0.1810,0.0031,0.0891,0.0000,3.4883,0.0000,
52.0000,0.0000,35.0000,-0.0874,0.0000,0.1864,0.1836,0.0032,0.0898,0.0000,3.4562,0.0000,
53.0000,0.0000,35.0000,-0.0922,0.0000,0.1870,0.1861,0.0033,0.0905,0.0000,3.4188,0.0000,
54.0000,0.0000,35.0000,-0.0967,0.0000,0.1877,0.1886,0.0035,0.0916,0.0000,3.3762,0.0000,
55.0000,0.0000,35.0000,-0.1015,0.0000,0.1881,0.1910,0.0036,0.0923,0.0000,3.3285,0.0000,
56.0000,0.0000,35.0000,-0.1064,0.0000,0.1880,0.1934,0.0037,0.0927,0.0000,3.2750,0.0000,
57.0000,0.0000,35.0000,-0.1113,0.0000,0.1879,0.1957,0.0038,0.0931,0.0000,3.2167,0.0000,
58.0000,0.0000,35.0000,-0.1161,0.0000,0.1876,0.1979,0.0040,0.0936,0.0000,3.1540,0.0000,
59.0000,0.0000,35.0000,-0.1215,0.0000,0.1863,0.2001,0.0041,0.0930,0.0000,3.0865,0.0000,
60.0000,0.0000,35.0000,-0.1266,0.0000,0.1851,0.2022,0.0042,0.0927,0.0000,3.0133,0.0000,
61.0000,0.0000,35.0000,-0.1314,0.0000,0.1842,0.2043,0.0044,0.0930,0.0000,2.9347,0.0000,
62.0000,0.0000,35.0000,-0.1359,0.0000,0.1838,0.2063,0.0045,0.0939,0.0000,2.8514,0.0000,
63.0000,0.0000,35.0000,-0.1408,0.0000,0.1822,0.2082,0.0047,0.0937,0.0000,2.7640,0.0000,
64.0000,0.0000,35.0000,-0.1456,0.0000,0.1807,0.2101,0.0048,0.0938,0.0000,2.6720,0.0000,
65.0000,0.0000,35.0000,-0.1503,0.0000,0.1790,0.2119,0.0049,0.0938,0.0000,2.5750,0.0000,
66.0000,0.0000,35.0000,-0.1548,0.0000,0.1776,0.2136,0.0051,0.0942,0.0000,2.4729,0.0000,
67.0000,0.0000,35.0000,-0.1592,0.0000,0.1760,0.2153,0.0052,0.0946,0.0000,2.3654,0.0000,
68.0000,0.0000,35.0000,-0.1635,0.0000,0.1745,0.2169,0.0053,0.0952,0.0000,2.2542,0.0000,
69.0000,0.0000,35.0000,-0.1677,0.0000,0.1729,0.2185,0.0055,0.0958,0.0000,2.1377,0.0000,
70.0000,0.0000,35.0000,-0.1717,0.0000,0.1714,0.2200,0.0056,0.0967,0.0000,2.0167,0.0000,
71.0000,0.0000,35.0000,-0.1756,0.0000,0.1700,0.2214,0.0058,0.0978,0.0000,1.8908,0.0000,
72.0000,0.0000,35.0000,-0.1797,0.0000,0.1680,0.2228,0.0059,0.0983,0.0000,1.7632,0.0000,
73.0000,0.0000,35.0000,-0.1836,0.0000,0.1659,0.2241,0.0061,0.0989,0.0000,1.6329,0.0000,
74.0000,0.0000,35.0000,-0.1875,0.0000,0.1636,0.2253,0.0062,0.0994,0.0000,1.4995,0.0000,
75.0000,0.0000,35.0000,-0.1914,0.0000,0.1609,0.2265,0.0064,0.0995,0.0000,1.3619,0.0000,
76.0000,0.0000,35.0000,-0.1951,0.0000,0.1582,0.2276,0.0065,0.0998,0.0000,1.2229,0.0000,
77.0000,0.0000,35.0000,-0.1989,0.0000,0.1550,0.2286,0.0067,0.0996,0.0000,1.0805,0.0000,
78.0000,0.0000,35.0000,-0.2024,0.0000,0.1520,0.2296,0.0068,0.0998,0.0000,0.9358,0.0000,
79.0000,0.0000,35.0000,-0.2059,0.0000,0.1487,0.2305,0.0069,0.0997,0.0000,0.7889,0.0000,
80.0000,0.0000,35.0000,-0.2093,0.0000,0.1453,0.2314,0.0071,0.0996,0.0000,0.6400,0.0000,
81.0000,0.0000,35.0000,-0.2126,0.0000,0.1420,0.2322,0.0072,0.0997,0.0000,0.4883,0.0000,
82.0000,0.0000,35.0000,-0.2156,0.0000,0.1389,0.2329,0.0074,0.1002,0.0000,0.3349,0.0000,
83.0000,0.0000,35.0000,-0.2187,0.0000,0.1353,0.2335,0.0075,0.1001,0.0000,0.1792,0.0000,
84.0000,0.0000,35.0000,-0.2215,0.0000,0.1318,0.2341,0.0077,0.1003,0.0000,0.0217,0.0000,
85.0000,0.0000,35.0000,-0.2243,0.0000,0.1283,0.2346,0.0078,0.1004,0.0000,-0.1366,0.0000,
86.0000,0.0000,35.0000,-0.2269,0.0000,0.1246,0.2351,0.0080,0.1005,0.0000,-0.2959,0.0000,
87.0000,0.0000,35.0000,-0.2295,0.0000,0.1207,0.2355,0.0081,0.1004,0.0000,-0.4557,0.0000,
88.0000,0.0000,35.0000,-0.2319,0.0000,0.1156,0.2358,0.0083,0.0992,0.0000,-0.6165,0.0000,
89.0000,0.0000,35.0000,-0.2341,0.0000,0.1114,0.2361,0.0084,0.0988,0.0000,-0.7766,0.0000,
90.0000,0.0000,35.0000,-0.2342,0.0000,0.1114,0.2361,0.0084,0.0988,0.0000,-0.7766,0.0000,
