AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
29.0000,0.0000,35.0000,-1.0698,0.0000,2.1516,2.4005,0.0220,0.0854,0.0000,0.5236,0.0000,
30.0000,0.0000,35.0000,-1.1423,0.0000,2.1958,2.4727,0.0233,0.0853,0.0000,0.5881,0.0000,
31.0000,0.0000,35.0000,-1.2158,0.0000,2.2378,2.5443,0.0246,0.0859,0.0000,0.6571,0.0000,
32.0000,0.0000,35.0000,-1.2902,0.0000,2.2775,2.6151,0.0259,0.0869,0.0000,0.7260,0.0000,
33.0000,0.0000,35.0000,-1.3675,0.0000,2.3135,2.6851,0.0273,0.0859,0.0000,0.7907,0.0000,
34.0000,0.0000,35.0000,-1.4450,0.0000,2.3476,2.7543,0.0287,0.0861,0.0000,0.8491,0.0000,
35.0000,0.0000,35.0000,-1.5239,0.0000,2.3788,2.8227,0.0301,0.0860,0.0000,0.9032,0.0000,
36.0000,0.0000,35.0000,-1.6040,0.0000,2.4071,2.8902,0.0316,0.0856,0.0000,0.9513,0.0000,
37.0000,0.0000,35.0000,-1.6847,0.0000,2.4330,2.9569,0.0330,0.0857,0.0000,0.9966,0.0000,
38.0000,0.0000,35.0000,-1.7664,0.0000,2.4558,3.0227,0.0345,0.0855,0.0000,1.0388,0.0000,
39.0000,0.0000,35.0000,-1.8484,0.0000,2.4762,3.0876,0.0361,0.0857,0.0000,1.0810,0.0000,
40.0000,0.0000,35.0000,-1.9320,0.0000,2.4930,3.1516,0.0376,0.0848,0.0000,1.1216,0.0000,
41.0000,0.0000,35.0000,-2.0148,0.0000,2.5080,3.2147,0.0392,0.0856,0.0000,1.1569,0.0000,
42.0000,0.0000,35.0000,-2.0982,0.0000,2.5201,3.2767,0.0408,0.0861,0.0000,1.1874,0.0000,
43.0000,0.0000,35.0000,-2.1823,0.0000,2.5289,3.3378,0.0425,0.0862,0.0000,1.2118,0.0000,
44.0000,0.0000,35.0000,-2.2665,0.0000,2.5349,3.3979,0.0441,0.0864,0.0000,1.2312,0.0000,
45.0000,0.0000,35.0000,-2.3516,0.0000,2.5374,3.4570,0.0458,0.0857,0.0000,1.2428,0.0000,
46.0000,0.0000,35.0000,-2.4359,0.0000,2.5378,3.5151,0.0474,0.0860,0.0000,1.2517,0.0000,
47.0000,0.0000,35.0000,-2.5204,0.0000,2.5349,3.5721,0.0491,0.0858,0.0000,1.2708,0.0000,
48.0000,0.0000,35.0000,-2.6043,0.0000,2.5296,3.6280,0.0508,0.0864,0.0000,1.2819,0.0000,
49.0000,0.0000,35.0000,-2.6884,0.0000,2.5209,3.6829,0.0526,0.0863,0.0000,1.2890,0.0000,
50.0000,0.0000,35.0000,-2.7721,0.0000,2.5094,3.7366,0.0543,0.0862,0.0000,1.2964,0.0000,
51.0000,0.0000,35.0000,-2.8546,0.0000,2.4961,3.7892,0.0560,0.0874,0.0000,1.3008,0.0000,
52.0000,0.0000,35.0000,-2.9369,0.0000,2.4793,3.8407,0.0578,0.0879,0.0000,1.2992,0.0000,
53.0000,0.0000,35.0000,-3.0182,0.0000,2.4602,3.8910,0.0595,0.0888,0.0000,1.2920,0.0000,
54.0000,0.0000,35.0000,-3.0984,0.0000,2.4388,3.9402,0.0613,0.0906,0.0000,1.2775,0.0000,
55.0000,0.0000,35.0000,-3.1792,0.0000,2.4128,3.9882,0.0630,0.0899,0.0000,1.2624,0.0000,
56.0000,0.0000,35.0000,-3.2577,0.0000,2.3859,4.0349,0.0648,0.0915,0.0000,1.2375,0.0000,
57.0000,0.0000,35.0000,-3.3354,0.0000,2.3560,4.0805,0.0666,0.0927,0.0000,1.2078,0.0000,
58.0000,0.0000,35.0000,-3.4128,0.0000,2.3222,4.1248,0.0683,0.0924,0.0000,1.1808,0.0000,
59.0000,0.0000,35.0000,-3.4893,0.0000,2.2852,4.1679,0.0701,0.0916,0.0000,1.1514,0.0000,
60.0000,0.0000,35.0000,-3.5643,0.0000,2.2460,4.2097,0.0718,0.0911,0.0000,1.1160,0.0000,
61.0000,0.0000,35.0000,-3.6380,0.0000,2.2039,4.2503,0.0736,0.0903,0.0000,1.0758,0.0000,
62.0000,0.0000,35.0000,-3.7096,0.0000,2.1602,4.2896,0.0753,0.0905,0.0000,1.0252,0.0000,
63.0000,0.0000,35.0000,-3.7783,0.0000,2.1135,4.3260,0.0772,0.0906,0.0000,0.9733,0.0000,
64.0000,0.0000,35.0000,-3.8467,0.0000,2.0641,4.3623,0.0789,0.0900,0.0000,0.9153,0.0000,
65.0000,0.0000,35.0000,-3.9130,0.0000,2.0135,4.3974,0.0806,0.0905,0.0000,0.8517,0.0000,
66.0000,0.0000,35.0000,-3.9777,0.0000,1.9606,4.4312,0.0824,0.0909,0.0000,0.7819,0.0000,
67.0000,0.0000,35.0000,-4.0406,0.0000,1.9051,4.4637,0.0841,0.0908,0.0000,0.7137,0.0000,
68.0000,0.0000,35.0000,-4.1012,0.0000,1.8485,4.4950,0.0857,0.0919,0.0000,0.6490,0.0000,
69.0000,0.0000,35.0000,-4.1599,0.0000,1.7895,4.5249,0.0873,0.0925,0.0000,0.5780,0.0000,
70.0000,0.0000,35.0000,-4.2168,0.0000,1.7277,4.5534,0.0889,0.0923,0.0000,0.5053,0.0000,
71.0000,0.0000,35.0000,-4.2714,0.0000,1.6646,4.5806,0.0905,0.0928,0.0000,0.4273,0.0000,
72.0000,0.0000,35.0000,-4.3239,0.0000,1.5989,4.6064,0.0921,0.0924,0.0000,0.3451,0.0000,
73.0000,0.0000,35.0000,-4.3739,0.0000,1.5324,4.6308,0.0936,0.0930,0.0000,0.2606,0.0000,
74.0000,0.0000,35.0000,-4.4211,0.0000,1.4659,4.6539,0.0951,0.0954,0.0000,0.1740,0.0000,
75.0000,0.0000,35.0000,-4.4664,0.0000,1.3957,4.6755,0.0966,0.0956,0.0000,0.0931,0.0000,
76.0000,0.0000,35.0000,-4.5091,0.0000,1.3250,4.6958,0.0980,0.0967,0.0000,0.0186,0.0000,
77.0000,0.0000,35.0000,-4.5524,0.0000,1.2529,4.7176,0.0992,0.0976,0.0000,-0.0419,0.0000,
78.0000,0.0000,35.0000,-4.5905,0.0000,1.1773,4.7350,0.1005,0.0966,0.0000,-0.1087,0.0000,
79.0000,0.0000,35.0000,-4.6229,0.0000,1.1003,4.7479,0.1022,0.0959,0.0000,-0.1823,0.0000,
80.0000,0.0000,35.0000,-4.6585,0.0000,1.0238,4.7655,0.1032,0.0961,0.0000,-0.2453,0.0000,
81.0000,0.0000,35.0000,-4.6858,0.0000,0.9429,4.7756,0.1047,0.0935,0.0000,-0.3248,0.0000,
82.0000,0.0000,35.0000,-4.7145,0.0000,0.8646,4.7890,0.1060,0.0940,0.0000,-0.3968,0.0000,
83.0000,0.0000,35.0000,-4.7371,0.0000,0.7843,4.7974,0.1071,0.0940,0.0000,-0.4593,0.0000,
84.0000,0.0000,35.0000,-4.7587,0.0000,0.7036,4.8062,0.1083,0.0940,0.0000,-0.5156,0.0000,
85.0000,0.0000,35.0000,-4.7775,0.0000,0.6222,4.8135,0.1093,0.0941,0.0000,-0.5643,0.0000,
86.0000,0.0000,35.0000,-4.7935,0.0000,0.5392,4.8194,0.1104,0.0931,0.0000,-0.6088,0.0000,
87.0000,0.0000,35.0000,-4.8065,0.0000,0.4566,4.8238,0.1114,0.0930,0.0000,-0.6535,0.0000,
88.0000,0.0000,35.0000,-4.8167,0.0000,0.3740,4.8268,0.1124,0.0933,0.0000,-0.6942,0.0000,
89.0000,0.0000,35.0000,-4.8239,0.0000,0.2906,4.8283,0.1133,0.0931,0.0000,-0.7340,0.0000,
90.0000,0.0000,35.0000,-4.8239,0.0000,0.2906,4.8283,0.1133,0.0931,0.0000,-0.7340,0.0000,
