AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
29.0000,0.0000,35.0000,-1.2457,0.0000,2.4985,2.7892,0.0316,0.0902,0.0000,-0.1181,0.0000,
30.0000,0.0000,35.0000,-1.3344,0.0000,2.5598,2.8840,0.0336,0.0907,0.0000,-0.1580,0.0000,
31.0000,0.0000,35.0000,-1.4223,0.0000,2.6112,2.9708,0.0352,0.0905,0.0000,-0.1455,0.0000,
32.0000,0.0000,35.0000,-1.5123,0.0000,2.6593,3.0566,0.0369,0.0898,0.0000,-0.1335,0.0000,
33.0000,0.0000,35.0000,-1.6030,0.0000,2.7048,3.1415,0.0386,0.0901,0.0000,-0.1174,0.0000,
34.0000,0.0000,35.0000,-1.6960,0.0000,2.7466,3.2254,0.0403,0.0895,0.0000,-0.1079,0.0000,
35.0000,0.0000,35.0000,-1.7893,0.0000,2.7859,3.3083,0.0421,0.0901,0.0000,-0.1030,0.0000,
36.0000,0.0000,35.0000,-1.8838,0.0000,2.8219,3.3902,0.0439,0.0907,0.0000,-0.0945,0.0000,
37.0000,0.0000,35.0000,-1.9808,0.0000,2.8536,3.4711,0.0457,0.0897,0.0000,-0.0856,0.0000,
38.0000,0.0000,35.0000,-2.0774,0.0000,2.8831,3.5508,0.0476,0.0904,0.0000,-0.0625,0.0000,
39.0000,0.0000,35.0000,-2.1752,0.0000,2.9088,3.6295,0.0494,0.0907,0.0000,-0.0399,0.0000,
40.0000,0.0000,35.0000,-2.2747,0.0000,2.9306,3.7071,0.0513,0.0899,0.0000,-0.0203,0.0000,
41.0000,0.0000,35.0000,-2.3706,0.0000,2.9525,3.7835,0.0532,0.0946,0.0000,-0.0079,0.0000,
42.0000,0.0000,35.0000,-2.4708,0.0000,2.9678,3.8588,0.0552,0.0945,0.0000,0.0069,0.0000,
43.0000,0.0000,35.0000,-2.5716,0.0000,2.9795,3.9329,0.0571,0.0941,0.0000,0.0185,0.0000,
44.0000,0.0000,35.0000,-2.6723,0.0000,2.9882,4.0058,0.0591,0.0944,0.0000,0.0294,0.0000,
45.0000,0.0000,35.0000,-2.7738,0.0000,2.9927,4.0775,0.0611,0.0937,0.0000,0.0509,0.0000,
46.0000,0.0000,35.0000,-2.8750,0.0000,2.9941,4.1480,0.0631,0.0935,0.0000,0.0746,0.0000,
47.0000,0.0000,35.0000,-2.9758,0.0000,2.9924,4.2172,0.0651,0.0939,0.0000,0.0964,0.0000,
48.0000,0.0000,35.0000,-3.0769,0.0000,2.9867,4.2851,0.0672,0.0936,0.0000,0.1155,0.0000,
49.0000,0.0000,35.0000,-3.1761,0.0000,2.9794,4.3517,0.0692,0.0956,0.0000,0.1322,0.0000,
50.0000,0.0000,35.0000,-3.2760,0.0000,2.9674,4.4170,0.0713,0.0961,0.0000,0.1441,0.0000,
51.0000,0.0000,35.0000,-3.3754,0.0000,2.9520,4.4809,0.0733,0.0966,0.0000,0.1556,0.0000,
52.0000,0.0000,35.0000,-3.4735,0.0000,2.9339,4.5435,0.0754,0.0980,0.0000,0.1663,0.0000,
53.0000,0.0000,35.0000,-3.5710,0.0000,2.9120,4.6044,0.0775,0.0991,0.0000,0.1791,0.0000,
54.0000,0.0000,35.0000,-3.6675,0.0000,2.8864,4.6636,0.0795,0.0999,0.0000,0.1840,0.0000,
55.0000,0.0000,35.0000,-3.7630,0.0000,2.8570,4.7212,0.0815,0.1004,0.0000,0.1874,0.0000,
56.0000,0.0000,35.0000,-3.8582,0.0000,2.8247,4.7781,0.0836,0.1007,0.0000,0.1891,0.0000,
57.0000,0.0000,35.0000,-3.9520,0.0000,2.7887,4.8333,0.0857,0.1007,0.0000,0.1874,0.0000,
58.0000,0.0000,35.0000,-4.0449,0.0000,2.7493,4.8872,0.0878,0.1003,0.0000,0.1824,0.0000,
59.0000,0.0000,35.0000,-4.1359,0.0000,2.7073,4.9395,0.0898,0.1006,0.0000,0.1743,0.0000,
60.0000,0.0000,35.0000,-4.2252,0.0000,2.6628,4.9905,0.0919,0.1016,0.0000,0.1580,0.0000,
61.0000,0.0000,35.0000,-4.3135,0.0000,2.6141,5.0400,0.0939,0.1011,0.0000,0.1410,0.0000,
62.0000,0.0000,35.0000,-4.4003,0.0000,2.5619,5.0880,0.0960,0.1003,0.0000,0.1289,0.0000,
63.0000,0.0000,35.0000,-4.4837,0.0000,2.5088,5.1340,0.0980,0.1019,0.0000,0.1164,0.0000,
64.0000,0.0000,35.0000,-4.5657,0.0000,2.4523,5.1787,0.1000,0.1026,0.0000,0.1014,0.0000,
65.0000,0.0000,35.0000,-4.6469,0.0000,2.3912,5.2221,0.1019,0.1014,0.0000,0.0921,0.0000,
66.0000,0.0000,35.0000,-4.7253,0.0000,2.3280,5.2637,0.1039,0.1009,0.0000,0.0825,0.0000,
67.0000,0.0000,35.0000,-4.8041,0.0000,2.2643,5.3069,0.1055,0.1016,0.0000,0.0655,0.0000,
68.0000,0.0000,35.0000,-4.8791,0.0000,2.1950,5.3461,0.1074,0.1000,0.0000,0.0498,0.0000,
69.0000,0.0000,35.0000,-4.9495,0.0000,2.1248,5.3822,0.1094,0.1006,0.0000,0.0273,0.0000,
70.0000,0.0000,35.0000,-5.0206,0.0000,2.0521,5.4197,0.1112,0.0999,0.0000,0.0092,0.0000,
71.0000,0.0000,35.0000,-5.0832,0.0000,1.9760,5.4496,0.1135,0.1000,0.0000,0.0034,0.0000,
72.0000,0.0000,35.0000,-5.1465,0.0000,1.9003,5.4818,0.1152,0.1017,0.0000,-0.0138,0.0000,
73.0000,0.0000,35.0000,-5.2082,0.0000,1.8188,5.5124,0.1170,0.0995,0.0000,-0.0244,0.0000,
74.0000,0.0000,35.0000,-5.2655,0.0000,1.7408,5.5413,0.1188,0.1032,0.0000,-0.0564,0.0000,
75.0000,0.0000,35.0000,-5.3213,0.0000,1.6558,5.5685,0.1205,0.1016,0.0000,-0.0688,0.0000,
76.0000,0.0000,35.0000,-5.3737,0.0000,1.5704,5.5940,0.1222,0.1016,0.0000,-0.0950,0.0000,
77.0000,0.0000,35.0000,-5.4245,0.0000,1.4843,5.6193,0.1239,0.1021,0.0000,-0.1616,0.0000,
78.0000,0.0000,35.0000,-5.4706,0.0000,1.3960,5.6413,0.1255,0.1025,0.0000,-0.1979,0.0000,
79.0000,0.0000,35.0000,-5.5131,0.0000,1.3041,5.6607,0.1270,0.1012,0.0000,-0.1779,0.0000,
80.0000,0.0000,35.0000,-5.5534,0.0000,1.2123,5.6795,0.1285,0.1011,0.0000,-0.2060,0.0000,
