AOA,Beta,Velocity,Cx,Cy,Cz,CL,CDi,CDo,CMx,CMy,CMz
31.0000,0.0000,33.0000,1.3946,0.0000,2.5920,2.9400,0.0410,0.0986,0.0000,4.0190,0.0000,
32.0000,0.0000,33.0000,1.4754,0.0000,2.6373,3.0184,0.0469,0.0995,0.0000,4.1114,0.0000,
33.0000,0.0000,33.0000,1.5549,0.0000,2.6787,3.0934,0.0562,0.0987,0.0000,4.2024,0.0000,
34.0000,0.0000,33.0000,1.6384,0.0000,2.7157,3.1676,0.0606,0.0998,0.0000,4.2935,0.0000,
35.0000,0.0000,33.0000,1.7281,0.0000,2.7421,3.2374,0.0577,0.0995,0.0000,4.3676,0.0000,
36.0000,0.0000,33.0000,1.8213,0.0000,2.7488,3.2944,0.0424,0.0998,0.0000,4.4404,0.0000,
37.0000,0.0000,33.0000,1.9105,0.0000,2.7806,3.3705,0.0475,0.1001,0.0000,4.5036,0.0000,
38.0000,0.0000,33.0000,2.0002,0.0000,2.8025,3.4399,0.0501,0.0991,0.0000,4.5627,0.0000,
39.0000,0.0000,33.0000,2.0710,0.0000,2.8072,3.4849,0.0577,0.0995,0.0000,4.6438,0.0000,
40.0000,0.0000,33.0000,2.1620,0.0000,2.8247,3.5535,0.0605,0.0990,0.0000,4.6861,0.0000,
41.0000,0.0000,33.0000,2.2564,0.0000,2.8419,3.6251,0.0626,0.0990,0.0000,4.7149,0.0000,
42.0000,0.0000,33.0000,2.3516,0.0000,2.8553,3.6955,0.0649,0.0981,0.0000,4.7385,0.0000,
43.0000,0.0000,33.0000,2.4457,0.0000,2.8668,3.7646,0.0675,0.0990,0.0000,4.7553,0.0000,
44.0000,0.0000,33.0000,2.5407,0.0000,2.8750,3.8330,0.0704,0.0991,0.0000,4.7660,0.0000,
45.0000,0.0000,33.0000,2.6355,0.0000,2.8796,3.8998,0.0736,0.0991,0.0000,4.7701,0.0000,
46.0000,0.0000,33.0000,2.7289,0.0000,2.8815,3.9647,0.0762,0.1009,0.0000,4.7819,0.0000,
47.0000,0.0000,33.0000,2.8241,0.0000,2.8793,4.0291,0.0794,0.1004,0.0000,4.7718,0.0000,
48.0000,0.0000,33.0000,2.9181,0.0000,2.8770,4.0936,0.0855,0.0999,0.0000,4.7184,0.0000,
49.0000,0.0000,33.0000,3.0116,0.0000,2.8693,4.1553,0.0894,0.1004,0.0000,4.6897,0.0000,
50.0000,0.0000,33.0000,3.1062,0.0000,2.8583,4.2168,0.0932,0.0997,0.0000,4.6520,0.0000,
51.0000,0.0000,33.0000,3.1997,0.0000,2.8443,4.2766,0.0973,0.0995,0.0000,4.6153,0.0000,
52.0000,0.0000,33.0000,3.2917,0.0000,2.8271,4.3344,0.1012,0.1000,0.0000,4.5661,0.0000,
53.0000,0.0000,33.0000,3.3852,0.0000,2.8100,4.3946,0.1044,0.1025,0.0000,4.5107,0.0000,
54.0000,0.0000,33.0000,3.4735,0.0000,2.7892,4.4496,0.1098,0.1050,0.0000,4.4497,0.0000,
55.0000,0.0000,33.0000,3.5648,0.0000,2.7603,4.5033,0.1143,0.1022,0.0000,4.3935,0.0000,
56.0000,0.0000,33.0000,3.6549,0.0000,2.7552,4.5707,0.1365,0.1039,0.0000,4.3212,0.0000,
57.0000,0.0000,33.0000,3.7438,0.0000,2.7065,4.6139,0.1264,0.1044,0.0000,4.2447,0.0000,
58.0000,0.0000,33.0000,3.8281,0.0000,2.6893,4.6715,0.1482,0.1039,0.0000,4.1702,0.0000,
59.0000,0.0000,33.0000,3.9149,0.0000,2.6254,4.7079,0.1292,0.1049,0.0000,4.0868,0.0000,
60.0000,0.0000,33.0000,4.0026,0.0000,2.5942,4.7634,0.1406,0.1048,0.0000,3.9892,0.0000,
61.0000,0.0000,33.0000,4.0841,0.0000,2.5413,4.8041,0.1388,0.1038,0.0000,3.8921,0.0000,
62.0000,0.0000,33.0000,4.1714,0.0000,2.5087,4.8609,0.1523,0.1044,0.0000,3.7898,0.0000,
63.0000,0.0000,33.0000,4.2510,0.0000,2.4691,4.9087,0.1652,0.1049,0.0000,3.6778,0.0000,
64.0000,0.0000,33.0000,4.3342,0.0000,2.4015,4.9483,0.1537,0.1048,0.0000,3.5595,0.0000,
65.0000,0.0000,33.0000,4.4127,0.0000,2.3482,4.9917,0.1594,0.1039,0.0000,3.4351,0.0000,
66.0000,0.0000,33.0000,4.4890,0.0000,2.2958,5.0347,0.1673,0.1042,0.0000,3.3057,0.0000,
67.0000,0.0000,33.0000,4.5649,0.0000,2.2426,5.0783,0.1761,0.1045,0.0000,3.1762,0.0000,
68.0000,0.0000,33.0000,4.6315,0.0000,2.1716,5.1078,0.1730,0.1055,0.0000,3.0548,0.0000,
69.0000,0.0000,33.0000,4.7038,0.0000,2.1118,5.1481,0.1802,0.1056,0.0000,2.9161,0.0000,
70.0000,0.0000,33.0000,4.7729,0.0000,2.0502,5.1863,0.1886,0.1055,0.0000,2.7709,0.0000,
71.0000,0.0000,33.0000,4.8393,0.0000,1.9877,5.2227,0.1987,0.1052,0.0000,2.6187,0.0000,
72.0000,0.0000,33.0000,4.9025,0.0000,1.9267,5.2579,0.2112,0.1062,0.0000,2.4669,0.0000,
73.0000,0.0000,33.0000,4.9633,0.0000,1.8668,5.2922,0.2278,0.1063,0.0000,2.3063,0.0000,
74.0000,0.0000,33.0000,5.0206,0.0000,1.8184,5.3273,0.2535,0.1106,0.0000,2.1439,0.0000,
75.0000,0.0000,33.0000,5.0759,0.0000,1.7706,5.3612,0.2873,0.1093,0.0000,1.9733,0.0000,
76.0000,0.0000,33.0000,5.1295,0.0000,1.7122,5.3913,0.3116,0.1088,0.0000,1.8158,0.0000,
77.0000,0.0000,33.0000,5.1850,0.0000,1.6543,5.4243,0.3357,0.1098,0.0000,1.6573,0.0000,
78.0000,0.0000,33.0000,5.2404,0.0000,1.5861,5.4556,0.3505,0.1113,0.0000,1.4936,0.0000,
79.0000,0.0000,33.0000,5.3012,0.0000,1.5148,5.4928,0.3640,0.1115,0.0000,1.3325,0.0000,
80.0000,0.0000,33.0000,5.3589,0.0000,1.4413,5.5278,0.3773,0.1115,0.0000,1.1641,0.0000,
81.0000,0.0000,33.0000,5.3879,0.0000,1.3625,5.5347,0.3914,0.1115,0.0000,0.9867,0.0000,
82.0000,0.0000,33.0000,5.4902,0.0000,1.3282,5.6216,0.4423,0.1089,0.0000,0.8133,0.0000,
83.0000,0.0000,33.0000,5.4745,0.0000,1.2160,5.5819,0.4282,0.1115,0.0000,0.6497,0.0000,
84.0000,0.0000,33.0000,5.4745,0.0000,1.1177,5.5613,0.4286,0.1107,0.0000,0.4726,0.0000,
85.0000,0.0000,33.0000,5.5665,0.0000,0.8759,5.6217,0.2765,0.1109,0.0000,0.3052,0.0000,
86.0000,0.0000,33.0000,5.5460,0.0000,0.7311,5.5835,0.2342,0.1082,0.0000,0.1349,0.0000,
87.0000,0.0000,33.0000,5.6085,0.0000,0.5961,5.6320,0.1929,0.1089,0.0000,0.0322,0.0000,
88.0000,0.0000,33.0000,5.4833,0.0000,0.6372,5.5022,0.3361,0.1094,0.0000,0.1930,0.0000,
89.0000,0.0000,33.0000,5.4571,0.0000,0.7105,5.4687,0.5055,0.1096,0.0000,0.2849,0.0000,
90.0000,0.0000,33.0000,5.4623,0.0000,0.6836,5.4734,0.4785,0.1096,0.0000,0.2849,0.0000,
